Size,MergeSort,Hybrid5,Hybrid10,Hybrid15,Hybrid20,Hybrid30,Hybrid50
500,450,155.6,110.4,100.2,82.6,86.2,72.2
600,481,172.2,123.2,122.2,98.4,97.6,89.8
700,570.4,229,183,136.4,137,113.8,105.8
800,650.4,295.2,204,152,151.6,130,128.6
900,740,316.8,224.8,172.8,173.6,150.2,155
1000,817.6,335,235,225.4,185,194,164.2
1100,905.8,349.8,255,262.4,204.4,210.6,185
1200,994.8,375.8,276,276.4,225.4,227.8,207
1300,1110.4,419.2,325.2,295.8,277.2,247,242.6
1400,1181.2,510.4,405.2,325,312.6,271.4,249.6
1500,1260.2,578.2,428,326.4,358.8,325.2,275.6
1600,1349,623.4,449.8,339.6,343,296.8,291.4
1700,1427.2,637.8,471.6,373.2,367,325.8,325.2
1800,1498.4,648.8,478,367.2,370,329.4,323.4
1900,1613.4,700.4,494,388.6,389.2,344.6,346.8
2000,1695.6,712.8,525.8,488.6,419.4,424.6,376.2
2100,1768.6,719.8,526.6,539,431,439.2,387
2200,1853.2,733.6,565,546.6,464.2,447,426.6
2300,1931.6,763.6,576.6,582.6,499.4,521,425
2400,2036.2,759.6,579.8,584.6,484.4,470,451.8
2500,2108.4,810.4,595.6,611.2,497,514.6,469.8
2600,2215.6,846.8,663,613,558.6,514.8,500.6
2700,2279.8,939.6,733,639.4,615,530.2,494
2800,2413,1008.4,846.6,636.6,650.4,543,540.8
2900,2421.6,1099.8,871.8,669.8,677.6,574.4,552.6
3000,2549.8,1185.4,889,684.8,726.2,614.6,599.2
3100,2677.8,1269.8,928.4,716.2,713.6,627.6,617
3200,2732.2,1287.8,940.6,730,730.2,642,633.4
3300,2811.4,1317,961.4,751.6,749.8,664,657
3400,2887.4,1326.4,966.8,743.6,746.8,663.2,710.8
3500,2948.8,1355.8,1000.4,783.6,785.2,697.2,703
3600,3036.8,1360.4,999.6,794,791.4,714.2,709.6
3700,3147.4,1382.8,1030.2,824.2,817.2,740.6,734.4
3800,3227.6,1417.8,1043,843.6,835.8,757.8,747.2
3900,3301.6,1424.2,1061.8,914.6,843.8,819,761.6
4000,3544.6,1454.6,1120.6,1012.8,896.6,902,822
4100,3381.8,1466.2,1100.4,1121.6,916.6,948.4,837.2
4200,3618.2,1457,1172.4,1101.6,950,921.8,874.6
4300,3641.6,1531.8,1139.2,1167.8,938.2,961.4,863.2
4400,3730,1500.2,1165,1148.2,979,945.2,901.2
4500,3760.2,1557.2,1172.6,1181.4,958.4,983.6,904.4
4600,3816.8,1554,1217.8,1242.8,1077.4,1020.2,954.6
4700,4044,1629.4,1236.6,1253.6,1013.8,1043.6,958.6
4800,4134,1591.6,1250.8,1224,1188.8,1072.2,1109.6
4900,4240.8,1719.2,1269,1298.8,1076.6,1101.6,1018.6
5000,4330.8,1699.4,1323.6,1292.2,1123.2,1090.8,1060
5100,4451.4,1782,1301.6,1333,1116.2,1153,1059.4
5200,4538.4,1845,1439.8,1334.2,1230.6,1131,1115.8
5300,4614,1924.8,1503.8,1400,1300.4,1223.8,1136.8
5400,4736.4,1986.2,1720,1380.8,1450.2,1181.6,1152.6
5500,4786,2147.4,1703.2,1424.2,1408.8,1244.2,1179.8
5600,4897,2155.2,1826.2,1408.6,1435.8,1213.2,1202.6
5700,4962.2,2271.2,1860.2,1451.2,1447,1259.4,1207.2
5800,5071.2,2354,1858.6,1458.4,1447.8,1307.4,1227.6
