Size,MergeSort,Hybrid5,Hybrid10,Hybrid15,Hybrid20,Hybrid30,Hybrid50
500,403.4,133.8,92,86.6,73.6,77.4,75.8
600,450,145.4,101.8,102,88.6,89.4,97.4
700,532.8,196,152,114.6,114.2,107.2,120.4
800,608,258.6,167.4,131.6,128.8,124.6,151.8
900,685.6,267,184.6,146.8,147.2,149.2,151
1000,763.2,282.4,193.2,188,161.4,168.2,164.8
1100,844,293,208.4,224.6,180.2,185.6,189.6
1200,926.2,310,223.8,228.6,200,201.6,219
1300,1047,348.4,270.2,245.4,245,223.8,261
1400,1102,439.4,334.4,271.6,256.8,248.2,273
1500,1182,499.8,348.6,270.8,306.6,303.4,305.8
1600,1241.8,527.8,364,281.2,285.6,274.6,324.4
1700,1324.6,539.2,384.2,308.4,307.4,309.4,301.2
1800,1388,549.6,383.2,307.8,308.4,310,305
1900,1529.4,591,397.6,326,331.6,331,331.6
2000,1610.8,594.6,425.2,405,356,362.6,365.4
2100,1637.6,600,424.6,438.6,362,375.8,377.2
2200,1714.2,600.6,458.2,442.8,399.2,382.4,422.4
2300,1784.4,624.6,458.6,484.2,403.2,422.6,431
2400,1899.2,622,474.2,484.4,431.2,406.6,477.4
2500,1937.2,664.8,479.6,498.6,434.8,446.6,477.4
2600,2058.2,689.2,533.2,492,475.8,448.8,513.4
2700,2112.2,779.8,589.8,528.8,503.2,464,513.8
2800,2187.2,833.6,693.6,514.4,528.6,479,557.6
2900,2243.4,965.8,712,543.6,543.4,510,593.8
3000,2423.4,991.4,710.6,555.2,568.8,540.8,629.8
3100,2438.4,1070.8,738.2,583.4,580,560.2,654.2
3200,2513.4,1087.2,752.6,590.6,597,580,681.6
3300,2587,1106,763.6,612.4,608.6,598,595.8
3400,2662.8,1107.8,781,622,609.2,621.2,618.8
3500,2716.8,1109.6,793.2,643,641,634.6,637
3600,2806,1129.4,791.8,652.6,647.4,666.6,649.6
3700,2888,1163,815.4,672,681.2,677.2,676.4
3800,2973,1168.8,855.4,694.8,684,703,693.2
3900,3045.4,1181.8,845.6,751.6,692.8,706,737.2
4000,3257,1190,893.8,821,749,744,765.6
4100,3106.2,1201,867,893.4,763,793,789.6
4200,3282.2,1182.8,928,880,788,767.8,828.2
4300,3350,1253.6,901,928,782.4,817.8,821.2
4400,3437.8,1213.6,930.6,904,818,791.4,869.4
4500,3464.2,1261.4,944,957.6,830.8,853.8,943.8
4600,3557.2,1243,968.4,956,878.6,847.6,926
4700,3687,1317.4,981.4,1004.8,856.6,893.6,925
4800,3778.8,1283.2,1019.6,989.2,998.8,914.2,1051.6
4900,3917.8,1409.6,1009,1037,908.8,938.8,997.8
5000,4041.4,1361.8,1054,1025,957.4,926.6,1045.2
5100,4446.4,1411,1043.4,1066.6,957.4,981.2,1051.2
5200,4171,1445.8,1146,1051.8,1024.8,969.2,1099.8
5300,4217.8,1566.2,1196.2,1098.2,1046.4,1041.6,1100
5400,4326.4,1620.6,1340.8,1149.2,1148.4,1014.2,1278.2
5500,4380.2,1741.2,1370.2,1151.4,1111.4,1072.4,1156
5600,4481.4,1770.6,1463.2,1130.2,1154,1056.4,1209.8
5700,4570.4,1878.6,1487.4,1166,1159.6,1110.8,1227.2
5800,4659.4,1959.2,1484.8,1170.2,1164.4,1094.8,1241.4
5900,4653,2006.4,1518,1197,1202.2,1140.8,1295.8
